"word","cnt","average"
"helping",58,88.7586206896552
"strong",2927,88.7553809361121
"natural",816,88.7352941176471
"calm",151,88.7152317880795
"avoid",35,88.7142857142857
"improvement",81,88.7037037037037
"charming",269,88.6765799256506
"cut",2086,88.6418983700863
"mistake",32,88.625
"comfortable",99,88.6161616161616
"worn",46,88.5869565217391
"stimulating",51,88.5686274509804
"fit",94,88.5531914893617
"shy",585,88.5418803418803
"advantage",37,88.5405405405405
"share",95,88.5157894736842
"shocking",33,88.5151515151515
"bright",11000,88.4861818181818
"rainy",31,88.4838709677419
"drop",541,88.4824399260629
"playful",167,88.4730538922156
"lively",4377,88.4722412611378
"prominent",486,88.4650205761317
"win",37,88.4324324324324
"free",45,88.4222222222222
"fresh",17527,88.3912249671935
"warm",2670,88.3621722846442
"stable",42,88.3333333333333
"severe",150,88.3266666666667
"miss",95,88.3263157894737
"healthy",434,88.294930875576
"exaggerated",31,88.258064516129
"cutting",332,88.2228915662651
"limited",342,88.1900584795322
"recommended",41,88.1707317073171
"favor",76,88.0921052631579
"brisk",2123,88.0744229863401
"difficult",305,88.0360655737705
"shortage",35,88.0285714285714
"helps",297,88.020202020202
"honest",209,88.0095693779904
"pretty",3224,88.0031017369727
"limits",60,88
"bargain",177,87.9830508474576
"boost",111,87.981981981982
"friendly",1237,87.981406628941
"drunk",596,87.9463087248322
"vitality",124,87.9112903225806
"leave",587,87.8620102214651
"greeting",45,87.8222222222222
"alert",80,87.8125
"hope",53,87.811320754717
"clarity",169,87.810650887574
"sweet",13444,87.8005801844689
"improves",46,87.7608695652174
"hide",133,87.7593984962406
"clean",5773,87.7484843235753
"saved",39,87.7435897435897
"reached",31,87.741935483871
"nice",2722,87.7402645113887
"hard",2601,87.7224144559785
"sparkling",865,87.7179190751445
"positive",70,87.6857142857143
"lost",161,87.6832298136646
"relaxed",39,87.6153846153846
"disappear",43,87.5581395348837
"fun",494,87.5425101214575
"popular",315,87.5396825396825
"pushy",90,87.5222222222222
"feeling",848,87.4728773584906
"fair",295,87.4135593220339
"matter",36,87.3888888888889
"jolly",41,87.3170731707317
"aggressive",390,87.2564102564103
"falling",45,87.2444444444444
"attack",69,87.2173913043478
"distraction",53,87.0754716981132
"pleasant",1615,86.9578947368421
"thorny",32,86.9375
"cheerful",209,86.933014354067
"easy",4992,86.9250801282051
"loose",81,86.8395061728395
"comfort",40,86.8
"bitter",3280,86.780487804878
"missing",161,86.7080745341615
"funky",572,86.6818181818182
"curious",118,86.3559322033898
"distract",39,86.1282051282051
"recommend",39,86.0769230769231
"competent",31,86.0322580645161
"lazy",42,85.9761904761905
"jumpy",173,85.971098265896
"distracts",45,85.8444444444444
"wrong",64,85.828125
"lack",311,85.8006430868167
"adequate",127,85.6929133858268
"terribly",85,85.6705882352941
"struggle",50,85.58
"disjointed",163,85.1165644171779
"disappointment",50,85.1
"bad",175,85.0685714285714
"lifesaver",64,84.953125
"awkward",184,84.7445652173913
"disappointing",63,84.6190476190476
"tired",119,84.6134453781513
"weak",92,84.5217391304348
"forced",110,84.4272727272727
"odd",180,84.3111111111111
"fails",45,84.2666666666667
"struggles",67,84.2537313432836
"fail",37,84.1621621621622
"unfocused",74,84.1081081081081
"harsh",261,84.0114942528736
"strange",148,83.4594594594595
"dull",261,83.3946360153257
"weird",51,82.5098039215686
